Lot #,Shape,Color,Clarity,Weight,Lab,Cut Grade,Polish,Symmetry,Fluor,Rapaport Price,% Off RAP,Price/Ct,Certificate #,Length,Width,Depth,Depth %,Table %,Gridle,Culet,Description/Comments,Origin,Measurement,Certificate Image,Video Link
2000069528,ROUND,F,VVS2,0.33,IGI,Excellent,Excellent,Excellent,NONE,2500,83,425,LG468173755,4.47,4.5,2.76,61.6,58,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.47x4.5x2.76,https://s3.amazonaws.com/lgdcertificates/LG468173755.pdf,https://s3.amazonaws.com/lgdvideos/LG468173755.html
2000075678,ROUND,F,VS2,0.33,IGI,Excellent,Excellent,Excellent,NONE,2200,83,374,LG455010344,4.48,4.51,2.76,61.4,58.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.48x4.51x2.76,https://s3.amazonaws.com/lgdcertificates/LG455010344.pdf,https://s3.amazonaws.com/lgdvideos/LG455010344.html
2000072650,ROUND,G,VVS2,0.33,IGI,Ideal,Excellent,Excellent,NONE,2300,83,391,LG464197821,4.46,4.49,2.76,61.7,56.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.46x4.49x2.76,https://s3.amazonaws.com/lgdcertificates/LG464197821.pdf,https://s3.amazonaws.com/lgdvideos/LG464197821.html
6200011232,ROUND,G,VVS2,0.33,IGI,Ideal,Excellent,Excellent,NONE,2300,83,391,LG468175509,4.49,4.53,2.72,60.3,57,Medium (Faceted),Pointed,MISC,LAB CREATED,4.49x4.53x2.72,https://s3.amazonaws.com/lgdcertificates/LG468175509.pdf,https://s3.amazonaws.com/lgdvideos/LG468175509.html
2000034687,ROUND,G,VS2,0.33,IGI,Ideal,Excellent,Excellent,NONE,2100,83,357,LG470150544,4.48,4.51,2.71,60.1,57.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.48x4.51x2.71,https://s3.amazonaws.com/lgdcertificates/LG470150544.pdf,https://s3.amazonaws.com/lgdvideos/LG470150544.html
2000038613,ROUND,G,VS2,0.33,IGI,Ideal,Excellent,Excellent,NONE,2100,83,357,LG470150614,4.46,4.48,2.77,62.1,57.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.46x4.48x2.77,https://s3.amazonaws.com/lgdcertificates/LG470150614.pdf,https://s3.amazonaws.com/lgdvideos/LG470150614.html
6100143496,ROUND,G,SI2,0.33,IGI,IDEAL,VERY GOOD,EXCELLENT,NONE,1600,82,288,LG365964487,4.48,4.53,2.72,60.5,58,MD-STKFC,POINTED,MISC,LAB CREATED,4.48x4.53x2.72,https://s3.amazonaws.com/lgdcertificates/LG365964487.pdf,https://s3.amazonaws.com/lgdvideos/LG365964487.html
4000247541,ROUND,H,VVS2,0.33,IGI,Ideal,Excellent,Excellent,NONE,2200,83,374,LG208691647,4.49,4.55,2.75,61,56.5,Medium,Pointed,MISC,LAB CREATED,4.49x4.55x2.75,https://s3.amazonaws.com/lgdcertificates/LG208691647.pdf,https://s3.amazonaws.com/lgdvideos/LG208691647.html
2000037784,ROUND,I,VVS2,0.33,IGI,IDEAL,EXCELLENT,EXCELLENT,None,2000,83,340,LG407965324,4.46,4.49,2.74,61.1,57.5,MDFC,POINTED,MISC,LAB CREATED,4.46x4.49x2.74,https://s3.amazonaws.com/lgdcertificates/LG407965324.pdf,https://s3.amazonaws.com/lgdvideos/LG407965324.html
4000247688,ROUND,I,VS2,0.33,IGI,Ideal,Excellent,Excellent,NONE,1800,83,306,LG208691823,4.45,4.48,2.75,61.6,57,Thin,Pointed,MISC,LAB CREATED,4.45x4.48x2.75,https://s3.amazonaws.com/lgdcertificates/LG208691823.pdf,https://s3.amazonaws.com/lgdvideos/LG208691823.html
2000054968,ROUND,J,VS1,0.33,IGI,Ideal,Excellent,Excellent,NONE,1600,83,272,LG425051750,4.46,4.48,2.76,61.6,55.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.46x4.48x2.76,https://s3.amazonaws.com/lgdcertificates/LG425051750.pdf,https://s3.amazonaws.com/lgdvideos/LG425051750.html
7000172120,ROUND,Very Light Brown,VVS2,0.33,GCAL,Excellent,Excellent,Very Good,NONE,0,0,230,251910011,4.52,4.53,2.69,59,59,THIN - MEDIUM,NONE,MISC,LAB CREATED,4.52x4.53x2.69,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL251910011.pdf,https://s3.amazonaws.com/lgdvideos/251910011.html
2000077258,ROUND,D,VS2,0.34,IGI,Excellent,Excellent,Excellent,NONE,2400,83,408,LG464196598,4.48,4.51,2.78,61.9,58,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.48x4.51x2.78,https://s3.amazonaws.com/lgdcertificates/LG464196598.pdf,https://s3.amazonaws.com/lgdvideos/LG464196598.html
